Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,1hour_to_half_day,0.49,33,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,30_minutes_1hour,0.04,3,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,dwta,0.01,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,less_than_30_minutes,0.06,4,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hopsital,more_than_half_day,0.4,27,refugee,,,select_one,Household
Who owns this health facility ?,hopsital_owner,community,0.01,1,refugee,,,select_one,Household
Who owns this health facility ?,hopsital_owner,govt,0.93,63,refugee,,,select_one,Household
Who owns this health facility ?,hopsital_owner,private_owner,0.06,4,refugee,,,select_one,Household
Are any services currently operating from this facility (pharmacy)?,operating_pharmacy,yes_full_functional,0.33,3,refugee,,,select_one,Household
Are any services currently operating from this facility (pharmacy)?,operating_pharmacy,yes_partial_functional,0.67,6,refugee,,,select_one,Household
Where is this health facility located?,pharmacy_location,far_from_the_kebele_in_zonal_town,0.22,2,refugee,,,select_one,Household
Where is this health facility located?,pharmacy_location,far_from_the_kebele_outside_woreda,0.22,2,refugee,,,select_one,Household
Where is this health facility located?,pharmacy_location,within_the_kebele,0.56,5,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_pharmacy,1hour_to_half_day,0.44,4,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_pharmacy,30_minutes_1hour,0.11,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_pharmacy,less_than_30_minutes,0.44,4,refugee,,,select_one,Household
Who owns this health facility ?,pharmacy_owner,govt,0.67,6,refugee,,,select_one,Household
Who owns this health facility ?,pharmacy_owner,private_owner,0.33,3,refugee,,,select_one,Household
Are any services currently operating from this facility?,operating_dispensary,yes_full_functional,0.78,7,refugee,,,select_one,Household
Are any services currently operating from this facility?,operating_dispensary,yes_partial_functional,0.22,2,refugee,,,select_one,Household
Where is this health facility located?,dispensary_location,within_the_kebele,1,9,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_dispensary,30_minutes_1hour,0.33,3,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_dispensary,dk,0.11,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_dispensary,less_than_30_minutes,0.56,5,refugee,,,select_one,Household
Who owns this health facility ?,dispensary_owner,community,0.22,2,refugee,,,select_one,Household
Who owns this health facility ?,dispensary_owner,govt,0.78,7,refugee,,,select_one,Household
Are any services currently operating from this facility (mobile clincs)?,operating_mobile_clinics,yes_full_functional,1,1,refugee,,,select_one,Household
Where is this health facility located?,mobile_clinics_location,within_the_kebele,1,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_mobile_clinics,less_than_30_minutes,1,1,refugee,,,select_one,Household
Who owns this health facility ?,mobile_clinics_owner,ngo,1,1,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,dk,0.49,17,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,no,0.09,3,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,yes_full_functional,0.17,6,refugee,,,select_one,Household
Are any services currently operating from this facility (household healthcare)?,operating_hh_healthcare,yes_partial_functional,0.26,9,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,dk,0.23,6,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,far_from_the_kebele_in_zonal_town,0.04,1,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,far_from_the_kebele_within_woreda,0.04,1,refugee,,,select_one,Household
Where is this health facility located?,hh_healthcare_location,within_the_kebele,0.69,18,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hh_healthcare,1hour_to_half_day,0.09,3,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hh_healthcare,30_minutes_1hour,0.17,6,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hh_healthcare,dk,0.37,13,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hh_healthcare,less_than_30_minutes,0.34,12,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_hh_healthcare,more_than_half_day,0.03,1,refugee,,,select_one,Household
Who owns this health facility ?,hh_healthcare_owner,community,0.04,1,refugee,,,select_one,Household
Who owns this health facility ?,hh_healthcare_owner,dk,0.18,5,refugee,,,select_one,Household
Who owns this health facility ?,hh_healthcare_owner,govt,0.75,21,refugee,,,select_one,Household
Who owns this health facility ?,hh_healthcare_owner,private_owner,0.04,1,refugee,,,select_one,Household
Is there an ambulance service accessible to households during emergency in your kebele?,ambulance_service_accessible,dk,0.04,33,refugee,,,select_one,Household
Is there an ambulance service accessible to households during emergency in your kebele?,ambulance_service_accessible,no,0.78,695,refugee,,,select_one,Household
Is there an ambulance service accessible to households during emergency in your kebele?,ambulance_service_accessible,yes,0.18,163,refugee,,,select_one,Household
"In the past 12 months, have you or anyone in your household had a health need for which they required assistance (regardless of whether assistance was recevied?)",health_need_assistance,dk,0.02,15,refugee,,,select_one,Household
"In the past 12 months, have you or anyone in your household had a health need for which they required assistance (regardless of whether assistance was recevied?)",health_need_assistance,no,0.21,191,refugee,,,select_one,Household
"In the past 12 months, have you or anyone in your household had a health need for which they required assistance (regardless of whether assistance was recevied?)",health_need_assistance,yes,0.77,685,refugee,,,select_one,Household
Did you or your household member(s) access the care that was needed?,hh_member_healthcare_needed,no,0.17,121,refugee,,,select_one,Household
Did you or your household member(s) access the care that was needed?,hh_member_healthcare_needed,partially,0.41,290,refugee,,,select_one,Household
Did you or your household member(s) access the care that was needed?,hh_member_healthcare_needed,yes,0.41,289,refugee,,,select_one,Household
